id,title,videoUrl,question,option1,option2,option3,option4,correct,explanation
pq1,Best 2D Animated Explainer for URL Phishing Awareness!,https://www.youtube.com/watch?v=RRHBsPiGhDc,Which tactic shown is most common in URL-based phishing?,Using very long URLs,Using brand-spoofed subdomains,Deleting cookies,Using no links at all,2,Phishers often use subdomains/spoofed domains that look genuine. :contentReference[oaicite:0]{index=0}
pq2,Phishing Vishing and SMiShing – Phishing attacks,https://www.youtube.com/watch?v=dGEdc8mVc5E,What type of phishing involves voice calls?,Email only,Text messages only,Voice calls (vishing),None of the above,3,Vishing uses voice calls to trick victims.
pq3,What is phishing?,https://www.youtube.com/watch?v=3GBmpqhQI8s,Which behaviour helps prevent phishing?,Ignoring all emails,Hovering over links to check URL,Using same password everywhere,Sharing credentials with friends,2,Hovering over links helps detect suspicious URLs.
pq4,Recognize and Report Phishing,https://www.youtube.com/watch?v=JlQovysQBn0,What should you do upon receiving a suspicious link?,Click immediately,Report it to IT or security,Forward to all your contacts,Ignore forever,2,Reporting helps prevent wider spread of phishing.
pq5,Phishing Training in Under 2 Minutes,https://www.youtube.com/watch?v=Wd-T8-VlmhU,What type of phishing targets a specific individual?,Mass email phishing,Spear phishing,Random phone calls,Publicly posted messages,2,Spear phishing is targeted and personalised.
pq6,Free Phishing Awareness Videos 2024,https://www.youtube.com/watch?v=6EmD3k3Pb8Y,Which emotion do scammers often exploit?,Curiosity,Greed,Fear,All of the above,4,Scammers exploit multiple emotions such as fear greed and curiosity.
pq7,Phishing Awareness Cybersecurity Awareness Month,https://www.youtube.com/watch?v=Yc54Q9FFwr0,What is a common channel for phishing attacks besides email?,Face-to-face calls,Official company memo,Text message (SMS/SMiShing),In-person meeting,3,SMS-based phishing (SMiShing) is increasingly common.
pq8,Phishing Keep IT Confidential,https://www.youtube.com/watch?v=9dLjmPYKY2Q,What is the first step when you suspect a phishing email?,Click it to verify,Delete without review,Check sender address validity,Reply asking for proof,3,Always check the sender email or domain first.
pq9,Email Security Awareness Training,https://www.youtube.com/watch?v=a2cTpJa50ic,Which of the following is safest practice?,Using same passwords everywhere,Turning off 2FA,Regularly update software,Sharing login credentials,3,Keeping software updated helps defend against phishing or malware.
pq10,How to Avoid Phishing We Can Secure Our World,https://www.youtube.com/watch?v=sg0kQYvTlnc,Who should you trust to help report phishing in a business environment?,Unknown public forum,Your IT/security team,Random colleague,Anonymous third-party,2,Your internal security or IT team is your best reporting channel.

