id,prompt,option1,option2,option3,option4,correct,explanation
wsb1,What is a secure URL scheme?,http,ftp,https,file,3,HTTPS encrypts data in transit between browser and server.
wsb2,Which indicates a legitimate site certificate?,Lock icon,Red address bar,Popup warning,No certificate,1,Lock icon shows a valid TLS certificate.
wsb3,What is a common sign of a malicious download button?,Multiple fake buttons,Clear source,Verified publisher,Small file size,1,Deceptive pages show many fake buttons.
wsb4,What should you check before entering credentials?,URL domain,Font style,Background color,Ad count,1,Always verify the domain name.
wsb5,Typosquatting is…,Using large fonts,Misspelled domain,Mobile layout,Dark theme,2,Attackers register look‑alike domains.
wsb6,Which file type is risky from unknown sites?,.pdf,.jpg,.exe,.txt,3,Executable files can run malware.
wsb7,What should you do with unexpected browser permission prompts?,Accept quickly,Block/Review,Ignore forever,Restart browser,2,Block first and review the request.
wsb8,Which is a safe password practice?,Reuse everywhere,Short memorable,Use manager,Share with friend,3,Use a password manager for unique strong passwords.
wsb9,What does 2FA add?,Nothing,Extra step,Device encryption,VPN,2,Two‑factor adds an extra verification step.
wsb10,Shortened links can…,Be harmless,Hide destination,Speed up site,Fix typos,2,They obscure the real target domain.
wsb11,When a site asks to install a plugin to view content…,Install always,Check source/avoid,Disable AV,Use incognito,2,Do not install unknown plugins.
wsb12,Cookies are primarily used to…,Hack users,Store session,Scan devices,Encrypt traffic,2,Sessions are tracked using cookies.
wsb13,Public Wi‑Fi risk can be reduced by…,Turning off screen,Using VPN,Max brightness,Guest account,2,VPN encrypts traffic.
wsb14,Phishing pages often copy…,Source code,Fonts,Logos and layout,Error pages,3,They imitate brand identity.
wsb15,Browser warnings about unsafe sites should be…,Ignored,Bypassed,Heeded,Shared on social,3,Respect browser safety warnings.
wsb16,Credential stuffing uses…,Leaked passwords,USB keys,QR codes,Biometric data,1,It reuses passwords from breaches.
wsb17,What helps defend against drive‑by downloads?,Disabled JS,Antivirus updates,Modern browser,All of these,4,Up‑to‑date browsers/AV help prevent.
wsb18,What is clickjacking?,Invisible overlays,Font clicking,Ad clicking,Mouse tracker,1,Hidden frames trick users to click.
