id,title,description,isPhishing,rationale
sbi01,Social Media Alert,"Your account will be disabled. Verify at http://soc1al-verify.net",true,Lookalike domain and urgency.
sbi02,Bank SMS,"Use app to verify recent transaction.",false,No links; directs to official app.
sbi03,Crypto Giveaway,"Send 0.1 ETH and receive 1 ETH back!",true,Classic giveaway scam pattern.
sbi04,HR Update,"Policy update attached: policy.pdf",false,PDF attachment from internal HR.
sbi05,App Store Receipt,"Receipt from store; review at https://store.example.com/receipts",false,Official store domain.
sbi06,Browser Warning,"Your phone is infected! Tap to fix.",true,Scareware pop‑up tactic.
sbi07,Charity Drive,"Donate via http://help-now-donate.site",true,Untrusted domain soliciting funds.
sbi08,School Notice,"Meeting details on portal: https://portal.example.edu/meet",false,Official .edu domain.
sbi09,Remote Job Offer,"High salary; apply via attached .xlsm",true,Macro-enabled sheet risk.
sbi10,Streaming Login,"Reauthenticate at https://account.stream.example/login",false,Legitimate subdomain path.
sbi11,Invoice Link,"View invoice at http://invoic3-pay.link",true,Punycode/typo domain.
sbi12,Delivery Text,"Track in the official app store link",false,Directs to official app store.
sbi13,WhatsApp Message,"Friend sent you video, open at http://wa-media.host",true,Random hosting domain.
sbi14,Parking Ticket,"Pay fine at https://city.example.gov/pay",false,Official .gov domain.
sbi15,QR Code Poster,"Scan to login to Wi‑Fi: http://free-wifi-login.me",true,Untrusted URL via QR.
sbi16,Conference Invite,"Join via internal SSO",false,Internal SSO flow.
sbi17,Amazon Order,"Check order at https://amazon.example/order",false,Legit vendor domain (example here).
sbi18,Password Expiry,"Reset now at http://reset-password-365.top",true,Suspicious TLD and wording.
sbi19,VPN Notice,"Connect using official VPN app",false,No links; operational instruction.
sbi20,Helpdesk Call,"Caller demands OTP over phone",true,Never share OTP over calls.
sbi21,Payroll Update,"Official portal asks to review payment details",false,Normal portal workflow on known domain.
sbi22,Browser Extension,"Unknown site asks to install extension for viewing",true,Install only from official stores.
sbi23,VPN Email,"Instruction to use official VPN app without links",false,Operational instruction.
sbi24,Doc Share,"Open doc on http://drive-shared-files.co",true,Look‑alike drive domain.
sbi25,Meeting Notes,"Notes available on https://intranet.example.com/notes",false,Internal domain is expected.
sbi26,QR Login Poster,"Scan QR that goes to free-login-page.top",true,QR leading to unknown domain is risky.
sbi27,Gift Card Drive,"Department requests gift cards via email",true,BEC with gift cards.
sbi28,Helpdesk Reply,"Asks for password to unlock",true,Support never asks for passwords.
sbi29,SSO Reminder,"Login via https://sso.example.com",false,Official SSO domain.
sbi30,Cloud Invoice,"Download invoice from random file host",true,Untrusted file hosts.
sbi31,Security Update,"Vendor update link to official site",false,Legit vendor domain.
sbi32,Crypto Support,"Agent asks seed phrase via chat",true,Seed phrase must never be shared.
sbi33,Banking SMS,"App notification without links",false,Safer flow via app.
sbi34,Public Wi‑Fi,"Captive portal requests to accept terms",false,Expected behavior.
sbi35,Fake Survey,"Survey at http://survey-prize-now.biz",true,Suspicious domain + prize.
sbi36,Two‑Factor Email,"Code sent from official domain without link",false,Standard MFA.
sbi37,Quishing,"QR on poster points to login clone",true,QR phishing.
sbi38,Inbox Rule,"Rule auto‑forwards to external address",true,Rule-based exfiltration.
sbi39,Account Notice,"Reset password at https://account.example.com/security",false,Legit security center.
sbi40,Charity Scam,"Donate via crypto to unknown address",true,Unverifiable destination.
sbi41,Remote Tool,"Email asks to install remote tool from random site",true,Untrusted remote admin tools.
sbi42,Newsletter,"Opt‑in from known brand",false,Legit marketing.
sbi43,Attachment .scr,"Executable invoice attached",true,Executable attachment risk.
sbi44,Signed PDF,"Vendor provides signed PDF",false,Signatures help verify integrity.
sbi45,Shipping Portal,"Update address at https://ship.example.com",false,Official portal.
sbi46,Passwordless Link,"Magic link from proper domain",false,Legitimate flow.
sbi47,Fake Help Portal,"Help at http://it-help-fix.support",true,Random support domain.
sbi48,CT Alert,"New cert for look‑alike brand",true,CT monitoring detects typosquats.
sbi49,Browser Warning,"Invalid certificate warning",true,Do not proceed.
sbi50,Security Education,"Official page about phishing",false,Educational content.




