host,label
cjplogger.com,LEGIT
www.cjplogger.com,LEGIT
paypal.com,LEGIT
www.paypal.com,LEGIT
amazon.com,LEGIT
www.amazon.com,LEGIT
microsoft.com,LEGIT
www.microsoft.com,LEGIT
google.com,LEGIT
www.google.com,LEGIT
bankofamerica.com,LEGIT
www.bankofamerica.com,LEGIT
chase.com,LEGIT
www.chase.com,LEGIT
icloud.com,LEGIT
www.icloud.com,LEGIT
dropbox.com,LEGIT
www.dropbox.com,LEGIT
stripe.com,LEGIT
www.stripe.com,LEGIT
office.com,LEGIT
www.office.com,LEGIT
outlook.com,LEGIT
www.outlook.com,LEGIT
coinbase.com,LEGIT
www.coinbase.com,LEGIT
steamcommunity.com,LEGIT
www.steamcommunity.com,LEGIT

